ID,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10
822,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,befDOC6
823,parC4,parC2,parC3,befC4,befC2,None,befFC6,None,None,None
824,parC4,parC3,parC2,befC4,befC2,None,None,None,PrevFail,None
829,parC4,parC3,parC2,befC4,None,befC2,None,befFC6,None,befC3
831,parC4,parC3,parC2,befC4,befC2,None,befC3,None,PrevFail,None
834,parC4,parC2,parC3,befC4,None,befC3,PrevFail,None,None,befC2
836,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befC3,None
837,parC4,parC3,parC2,befC4,befC2,None,None,None,None,befC3
839,parC4,parC2,parC3,befC4,befC2,None,PrevDO,befC3,befFC5,None
840,parC4,parC3,parC2,befC4,None,befC2,befC3,None,None,befDOC6
841,parC4,parC2,parC3,befC4,befC2,PrevDO,None,befC3,None,PrevFail
845,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,befC3
847,parC4,parC3,parC2,befC4,befC2,None,PrevFail,PrevDO,befC3,None
850,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,befC3
851,parC4,parC3,parC2,befC2,befC4,PrevFail,None,befDOC5,None,None
853,parC4,parC2,parC3,befC4,befC2,PrevFail,None,befC3,befFC5,None
855,parC4,parC3,parC2,befC4,None,befC2,PrevFail,None,None,None
856,parC4,parC2,parC3,befC4,PrevFail,befC2,None,befDOC6,None,befC3
858,parC4,parC2,parC3,befC4,befC2,PrevFail,None,None,PrevDO,None
860,parC4,parC2,parC3,befC4,befC2,befC3,befFC5,None,None,None
867,parC4,parC3,parC2,befC4,PrevFail,befC2,PrevDO,befC3,None,befDOC5
879,parC4,parC3,parC2,befC2,befC4,None,befDOC5,befFC5,befC3,befFC6
880,parC4,None,parC2,befC4,befC2,None,PrevFail,None,befFC5,befFC6
884,parC4,parC3,parC2,befC4,PrevDO,befC2,befFC5,befC3,PrevFail,None
885,parC4,parC3,parC2,befC4,befC2,PrevFail,PrevDO,None,None,befDOC6
886,parC4,parC2,parC3,befC2,befC4,PrevFail,befFC5,None,None,befC3
887,parC4,parC2,parC3,befC2,befC4,PrevFail,None,None,None,None
888,parC4,parC3,parC2,befC4,PrevDO,befC3,PrevFail,befC2,None,None
889,parC4,parC3,parC2,befC4,PrevFail,befC2,None,None,befFC6,None
890,parC4,parC2,parC3,befC4,befC2,PrevFail,befC3,None,None,befFC5
892,parC4,parC2,parC3,befC4,PrevFail,befC2,befFC5,None,None,befDOC5
897,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
901,parC4,parC3,parC2,befC4,befC2,befDOC6,PrevFail,None,befC3,befFC6
902,parC4,None,None,befC4,None,None,PrevFail,befFC5,None,None
905,parC4,parC3,parC2,befC4,befC2,PrevFail,befC3,None,None,None
906,parC4,parC3,parC2,befC4,befC2,PrevFail,befC3,None,None,None
909,parC4,parC3,parC2,befC2,befC4,PrevDO,befC3,PrevFail,None,None
911,parC4,parC3,parC2,befC4,PrevFail,befC2,None,befFC6,befC3,None
916,parC4,parC2,parC3,befC4,befC2,PrevFail,None,None,befDOC6,None
919,parC4,parC3,parC2,befC4,PrevFail,befC2,None,befC3,befFC6,None
922,parC4,parC3,parC2,befC4,befC2,None,befDOC6,None,None,None
924,parC4,parC3,parC2,befC4,None,None,befC2,PrevFail,None,befC3
925,parC4,parC2,parC3,befC2,befC4,befC3,PrevFail,None,None,None
927,parC4,parC2,parC3,befC4,PrevFail,befC2,None,None,PrevDO,befC3
930,parC4,parC3,parC2,befC4,PrevDO,befC2,PrevFail,None,None,befC3
933,parC4,parC3,parC2,befC2,befC4,None,befDOC5,None,None,None
934,parC4,parC3,parC2,PrevFail,befC2,befC4,PrevDO,befC3,befFC5,None
937,parC4,parC3,parC2,befC4,befC2,None,PrevFail,befC3,befFC6,None
942,parC4,parC3,parC2,befC4,befC2,None,PrevFail,None,None,None
943,parC4,parC3,parC2,befC2,befC4,befC3,None,None,befDOC5,None
946,parC4,parC3,parC2,befC4,befC2,None,None,PrevFail,befFC5,None
947,parC4,parC3,parC2,befC4,befC2,None,PrevFail,befC3,None,None
953,parC4,parC3,parC2,befC4,befC2,None,None,None,PrevFail,None
956,parC4,parC3,parC2,befC4,befC2,PrevFail,PrevDO,None,None,None
957,parC4,parC3,parC2,befC4,PrevFail,befC2,befDOC5,PrevDO,befFC6,None
973,parC4,parC2,parC3,befC4,befC2,None,befC3,befFC6,PrevFail,None
979,parC4,parC3,parC2,befC4,befC2,PrevFail,befC3,None,None,None
982,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,None,None
986,parC4,parC3,parC2,befC4,None,befFC6,befC2,PrevDO,None,befDOC6
999,parC4,parC3,parC2,befC4,befC2,PrevFail,None,None,befC3,None
